2019-04-30 14:46:02,156 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20041} enter cache
2019-04-30 14:46:10,591 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20028} exit cache
2019-04-30 14:46:10,591 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20042} enter cache
2019-04-30 14:46:13,548 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20027} exit cache
2019-04-30 14:46:13,548 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20043} enter cache
2019-04-30 14:46:13,760 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20029} exit cache
2019-04-30 14:46:13,761 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20044} enter cache
2019-04-30 14:46:19,488 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20030} exit cache
2019-04-30 14:46:19,489 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20045} enter cache
2019-04-30 14:46:19,494 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20031} exit cache
2019-04-30 14:46:19,494 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20046} enter cache
2019-04-30 14:48:01,347 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20032} exit cache
2019-04-30 14:48:01,347 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20047} enter cache
2019-04-30 14:48:01,350 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20033} exit cache
2019-04-30 14:48:01,351 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20048} enter cache
2019-04-30 14:48:01,357 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20034} exit cache
2019-04-30 14:48:01,357 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20049} enter cache
2019-04-30 14:48:01,375 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20035} exit cache
2019-04-30 14:48:01,375 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20050} enter cache
2019-04-30 14:48:01,380 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20036} exit cache
2019-04-30 14:48:01,380 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20051} enter cache
2019-04-30 14:48:01,383 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20037} exit cache
2019-04-30 14:48:01,383 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20052} enter cache
2019-04-30 14:48:01,387 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20038} exit cache
2019-04-30 14:48:01,388 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20053} enter cache
2019-04-30 14:48:01,393 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20039} exit cache
2019-04-30 14:48:01,393 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20054} enter cache
2019-04-30 14:48:01,395 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20040} exit cache
2019-04-30 14:48:01,396 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20055} enter cache
2019-04-30 14:48:01,398 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20041} exit cache
2019-04-30 14:48:01,398 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20056} enter cache
2019-04-30 14:48:01,401 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20042} exit cache
2019-04-30 14:48:01,401 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20057} enter cache
2019-04-30 14:48:01,404 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20043} exit cache
2019-04-30 14:48:01,404 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20058} enter cache
2019-04-30 14:48:01,407 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20044} exit cache
2019-04-30 14:48:01,407 [DEBUG] com.alibaba.druid.pool.PreparedStatementPool  - {conn-10001, pstmt-20059} enter cache
